[2025-04-23 12:08:00] eth:ethertype:ip:tcp 192.7.0.42:58692 -> 89.58.44.75:443 | Possível FIN
[2025-04-23 12:08:00] eth:ethertype:ip:tcp 192.7.0.42:40824 -> 13.107.246.33:443 | Possível FIN
[2025-04-23 12:08:00] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:40824 | Possível FIN
[2025-04-23 12:08:00] eth:ethertype:ip:tcp 89.58.44.75:443 -> 192.7.0.42:58692 | Possível FIN
[2025-04-23 12:08:00] eth:ethertype:ip:tcp 192.7.0.42:51560 -> 13.107.253.33:443 | Possível FIN
[2025-04-23 12:08:00] eth:ethertype:ip:tcp 13.107.253.33:443 -> 192.7.0.42:51560 | Possível FIN
[2025-04-23 12:08:01] eth:ethertype:ip:tcp 157.249.81.141:443 -> 192.7.0.42:36668 | Possível FIN
[2025-04-23 12:08:34] eth:ethertype:ip:tcp 192.7.0.42:42302 -> 3.233.158.25:443 | Possível FIN
[2025-04-23 12:08:34] eth:ethertype:ip:tcp 3.233.158.25:443 -> 192.7.0.42:42302 | Possível FIN
[2025-04-23 12:08:41] eth:ethertype:ip:tcp 44.218.154.43:443 -> 192.7.0.42:48854 | Possível FIN
[2025-04-23 12:08:41] eth:ethertype:ip:tcp 192.7.0.42:48854 -> 44.218.154.43:443 | Possível FIN
[2025-04-23 12:08:47] eth:ethertype:ip:tcp 192.7.0.42:59584 -> 107.182.234.156:443 | Possível SYN
[2025-04-23 12:08:47] eth:ethertype:ip:tcp 107.182.234.156:443 -> 192.7.0.42:59584 | Possível SYN
[2025-04-23 12:09:02] eth:ethertype:ip:tcp 104.22.51.98:443 -> 192.7.0.42:56682 | Possível FIN
[2025-04-23 12:09:02] eth:ethertype:ip:tcp 192.7.0.42:56682 -> 104.22.51.98:443 | Possível FIN
[2025-04-23 12:09:03] eth:ethertype:ip:tcp 104.18.27.193:443 -> 192.7.0.42:52678 | Possível FIN
[2025-04-23 12:09:03] eth:ethertype:ip:tcp 192.7.0.42:52678 -> 104.18.27.193:443 | Possível FIN
[2025-04-23 12:09:18] eth:ethertype:ip:tcp 107.182.234.156:443 -> 192.7.0.42:59584 | Possível FIN
[2025-04-23 12:09:18] eth:ethertype:ip:tcp 192.7.0.42:59584 -> 107.182.234.156:443 | Possível FIN
[2025-04-23 12:09:47] eth:ethertype:ip:tcp 4.249.131.160:443 -> 192.7.0.42:51588 | Possível FIN
[2025-04-23 12:09:47] eth:ethertype:ip:tcp 192.7.0.42:51588 -> 4.249.131.160:443 | Possível FIN
[2025-04-23 12:09:52] eth:ethertype:ip:udp:dns 192.7.0.42: -> 10.8.0.254: | Possível SYN
[2025-04-23 12:09:52] eth:ethertype:ip:udp:dns 192.7.0.42: -> 10.8.0.254: | Possível SYN
[2025-04-23 12:09:53] eth:ethertype:ip:udp:dns 10.8.0.254: -> 192.7.0.42: | Possível SYN
[2025-04-23 12:09:53] eth:ethertype:ip:udp:dns 10.8.0.254: -> 192.7.0.42: | Possível SYN
[2025-04-23 12:10:01] eth:ethertype:ip:tcp 140.82.113.22:443 -> 192.7.0.42:35510 | Possível FIN
[2025-04-23 12:10:01] eth:ethertype:ip:tcp 192.7.0.42:35510 -> 140.82.113.22:443 | Possível FIN
[2025-04-23 12:10:27] eth:ethertype:ip:tcp 192.7.0.42:58934 -> 107.182.234.156:443 | Possível SYN
[2025-04-23 12:10:27] eth:ethertype:ip:tcp 107.182.234.156:443 -> 192.7.0.42:58934 | Possível SYN
[2025-04-23 12:10:39] eth:ethertype:ip:tcp 192.7.0.42:57588 -> 20.201.28.151:443 | Possível SYN
[2025-04-23 12:10:39] eth:ethertype:ip:tcp 20.201.28.151:443 -> 192.7.0.42:57588 | Possível SYN
[2025-04-23 12:10:39] eth:ethertype:ip:tcp 192.7.0.42:57588 -> 20.201.28.151:443 | Possível FIN
[2025-04-23 12:10:48] eth:ethertype:ip:tcp 192.7.0.42:36144 -> 13.107.246.33:443 | Possível SYN
[2025-04-23 12:10:48] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:36144 | Possível SYN
[2025-04-23 12:11:10] eth:ethertype:ip:tcp 192.7.0.42:58934 -> 107.182.234.156:443 | Possível FIN
[2025-04-23 12:11:22] eth:ethertype:ip:tcp 192.7.0.42:45128 -> 172.217.29.99:443 | Possível FIN
[2025-04-23 12:11:22] eth:ethertype:ip:tcp 172.217.29.99:443 -> 192.7.0.42:45128 | Possível FIN
[2025-04-23 12:11:27] eth:ethertype:ip:tcp 192.7.0.42:41086 -> 142.251.135.195:443 | Possível FIN
[2025-04-23 12:11:27] eth:ethertype:ip:tcp 142.251.135.195:443 -> 192.7.0.42:41086 | Possível FIN
[2025-04-23 12:11:53] eth:ethertype:ip:tcp 192.7.0.42:32818 -> 142.251.135.206:443 | Possível SYN
[2025-04-23 12:11:53] eth:ethertype:ip:tcp 142.251.135.206:443 -> 192.7.0.42:32818 | Possível SYN
[2025-04-23 12:11:53] eth:ethertype:ip:tcp 192.7.0.42:56920 -> 172.217.28.54:443 | Possível SYN
[2025-04-23 12:11:53] eth:ethertype:ip:tcp 172.217.28.54:443 -> 192.7.0.42:56920 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 192.7.0.42:60620 -> 172.217.28.138:443 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 172.217.28.138:443 -> 192.7.0.42:60620 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 192.7.0.42:42294 -> 172.217.30.3:443 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 172.217.30.3:443 -> 192.7.0.42:42294 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 192.7.0.42:34708 -> 142.251.134.230:443 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 142.251.134.230:443 -> 192.7.0.42:34708 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 192.7.0.42:34338 -> 172.217.29.193:443 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 192.7.0.42:58288 -> 172.217.29.238:443 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 172.217.29.193:443 -> 192.7.0.42:34338 | Possível SYN
[2025-04-23 12:11:54] eth:ethertype:ip:tcp 172.217.29.238:443 -> 192.7.0.42:58288 | Possível SYN
[2025-04-23 12:12:04] eth:ethertype:ip:tcp 192.7.0.42:49564 -> 89.58.44.75:443 | Possível SYN
[2025-04-23 12:12:04] eth:ethertype:ip:tcp 89.58.44.75:443 -> 192.7.0.42:49564 | Possível SYN
[2025-04-23 12:12:05] eth:ethertype:ip:tcp 192.7.0.42:52842 -> 13.107.246.33:443 | Possível SYN
[2025-04-23 12:12:05] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:52842 | Possível SYN
[2025-04-23 12:12:05] eth:ethertype:ip:tcp 192.7.0.42:52856 -> 13.107.246.33:443 | Possível SYN
[2025-04-23 12:12:05] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:52856 | Possível SYN
