[2025-04-28 19:31:06] 19:31:06 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53420 -> 146.112.41.2:443 | SYN
[2025-04-28 19:31:06] 19:31:06 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53430 -> 146.112.41.2:443 | SYN
[2025-04-28 19:31:07] 19:31:07 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53782 -> 142.251.128.174:443 | SYN
[2025-04-28 19:32:21] 19:32:21 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60436 -> 107.182.234.156:443 | SYN
[2025-04-28 19:32:21] 19:32:21 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60448 -> 107.182.234.156:443 | SYN
[2025-04-28 19:32:24] 19:32:24 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60436 -> 107.182.234.156:443 | SYN
[2025-04-28 19:32:30] 19:32:30 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:35738 -> 157.249.81.141:443 | SYN
[2025-04-28 19:32:30] 19:32:30 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:36232 -> 13.107.246.33:443 | SYN
[2025-04-28 19:32:31] 19:32:31 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:35738 -> 157.249.81.141:443 | SYN
[2025-04-28 19:32:33] 19:32:33 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37250 -> 13.107.246.45:443 | SYN
[2025-04-28 19:32:34] 19:32:34 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:35738 -> 157.249.81.141:443 | SYN
[2025-04-28 19:32:34] 19:32:34 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37250 -> 13.107.246.45:443 | SYN
[2025-04-28 19:32:38] 19:32:38 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:35738 -> 157.249.81.141:443 | SYN
[2025-04-28 19:32:46] 19:32:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:35738 -> 157.249.81.141:443 | SYN
[2025-04-28 19:32:49] 19:32:49 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53206 -> 13.107.246.33:443 | SYN
[2025-04-28 19:32:51] 19:32:51 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:43108 -> 13.107.5.93:443 | SYN
[2025-04-28 19:32:52] 19:32:52 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:51752 -> 20.201.28.151:443 | SYN
[2025-04-28 19:32:52] 19:32:52 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:43114 -> 13.107.5.93:443 | SYN
[2025-04-28 19:32:53] 19:32:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:51752 -> 20.201.28.151:443 | SYN
