[2025-04-26 19:42:32] 19:42:32 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44920 -> 52.168.112.67:443 | SYN
[2025-04-26 19:42:32] 19:42:32 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:39856 -> 20.201.28.151:443 | SYN
[2025-04-26 19:42:36] 19:42:36 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:37358 -> 172.217.30.132:443 | SYN
[2025-04-26 19:42:39] 19:42:39 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:50580 -> 13.107.246.33:443 | SYN
[2025-04-26 19:43:36] 19:43:36 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:58568 -> 172.217.30.132:443 | SYN
[2025-04-26 19:43:57] 19:43:57 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54234 -> 169.254.169.254:80 | SYN
[2025-04-26 19:43:58] 19:43:58 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54234 -> 169.254.169.254:80 | SYN
[2025-04-26 19:43:59] 19:43:59 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54248 -> 169.254.169.254:80 | SYN
[2025-04-26 19:44:00] 19:44:00 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:51504 -> 20.189.172.76:443 | SYN
[2025-04-26 19:44:00] 19:44:00 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:60312 -> 140.82.112.22:443 | SYN
[2025-04-26 19:44:00] 19:44:00 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:54248 -> 169.254.169.254:80 | SYN
[2025-04-26 19:44:02] 19:44:02 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:51506 -> 20.189.172.76:443 | SYN
[2025-04-26 19:44:02] 19:44:02 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:59856 -> 13.107.246.33:443 | SYN
[2025-04-26 19:44:03] 19:44:03 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:39568 -> 13.107.246.36:443 | SYN
[2025-04-26 19:44:03] 19:44:03 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43476 -> 157.249.81.141:443 | SYN
[2025-04-26 19:44:09] 19:44:09 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:39838 -> 172.217.172.46:443 | SYN
[2025-04-26 19:44:10] 19:44:10 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44276 -> 172.217.30.42:443 | SYN
[2025-04-26 19:44:10] 19:44:10 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:39852 -> 172.217.172.46:443 | SYN
[2025-04-26 19:44:37] 19:44:37 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:48164 -> 172.217.30.132:443 | SYN
[2025-04-26 19:44:40] 19:44:40 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:45280 -> 107.182.234.156:443 | SYN
[2025-04-26 19:45:37] 19:45:37 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44726 -> 172.217.30.132:443 | SYN
[2025-04-26 19:47:12] 19:47:12 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:51818 -> 169.254.169.254:80 | SYN
